time,open,high,low,close
2026-07-14T12:51:00-05:00,29856,29860.5,29850.5,29860.5
2026-07-14T12:52:00-05:00,29860.5,29864.25,29858,29858
2026-07-14T12:53:00-05:00,29858,29862.5,29856.5,29857.5
2026-07-14T12:54:00-05:00,29857,29862.25,29857,29860.5
2026-07-14T12:55:00-05:00,29860.5,29861.25,29853.5,29859
2026-07-14T12:56:00-05:00,29859,29861.25,29855.5,29859.75
2026-07-14T12:57:00-05:00,29859.75,29861,29855,29860
2026-07-14T12:58:00-05:00,29859.75,29863.75,29858.75,29862
2026-07-14T12:59:00-05:00,29861.25,29865.5,29859,29863.25
2026-07-14T13:00:00-05:00,29863,29864,29842.5,29845.25
2026-07-14T13:01:00-05:00,29846,29856,29844,29853
2026-07-14T13:02:00-05:00,29852,29858.5,29847.75,29857
2026-07-14T13:03:00-05:00,29856.75,29865.25,29854.75,29865.25
2026-07-14T13:04:00-05:00,29865,29870,29861,29866.75
2026-07-14T13:05:00-05:00,29865.75,29868,29859,29860.5
2026-07-14T13:06:00-05:00,29861,29861.75,29848.25,29851.5
2026-07-14T13:07:00-05:00,29850.25,29855.5,29844.5,29855
2026-07-14T13:08:00-05:00,29855.25,29865,29854,29861.25
2026-07-14T13:09:00-05:00,29862.25,29864.75,29860.75,29863.75
2026-07-14T13:10:00-05:00,29864,29868.25,29863.5,29866.5
2026-07-14T13:11:00-05:00,29866.5,29867,29859,29865
2026-07-14T13:12:00-05:00,29864.75,29866.5,29862.75,29864
2026-07-14T13:13:00-05:00,29863.75,29871.75,29862,29868.5
2026-07-14T13:14:00-05:00,29868,29870.5,29865.5,29869.25
2026-07-14T13:15:00-05:00,29868.75,29878.25,29866,29866
2026-07-14T13:16:00-05:00,29866.25,29873.25,29866.25,29869
2026-07-14T13:17:00-05:00,29868.75,29869.5,29861.5,29865
2026-07-14T13:18:00-05:00,29865.25,29867.5,29860.75,29865.75
2026-07-14T13:19:00-05:00,29865.5,29869,29862.5,29866.25
2026-07-14T13:20:00-05:00,29866.25,29867.5,29858,29866.25
2026-07-14T13:21:00-05:00,29865.75,29870.5,29862.75,29865
2026-07-14T13:22:00-05:00,29865,29869,29860,29868
2026-07-14T13:23:00-05:00,29866.75,29868.5,29864,29865.5
2026-07-14T13:24:00-05:00,29866.25,29867,29851.25,29855.5
2026-07-14T13:25:00-05:00,29854.75,29865.5,29847.5,29863.25
2026-07-14T13:26:00-05:00,29863,29866.25,29858,29864.75
2026-07-14T13:27:00-05:00,29864.5,29866,29856.25,29858.75
2026-07-14T13:28:00-05:00,29859,29864.75,29857.75,29862.25
2026-07-14T13:29:00-05:00,29861,29862.25,29851.75,29853.75
2026-07-14T13:30:00-05:00,29854,29859.5,29848,29849
2026-07-14T13:31:00-05:00,29849.5,29858.25,29847.75,29857.75
2026-07-14T13:32:00-05:00,29858,29858.75,29844.5,29856.5
2026-07-14T13:33:00-05:00,29856.25,29860,29852,29859
2026-07-14T13:34:00-05:00,29858.5,29864.25,29856.5,29862.5
2026-07-14T13:35:00-05:00,29862.75,29869.5,29862.25,29866
2026-07-14T13:36:00-05:00,29866,29867.5,29859.5,29863.5
2026-07-14T13:37:00-05:00,29862.5,29866.25,29836,29854.25
2026-07-14T13:38:00-05:00,29854.75,29854.75,29840.5,29846.5
2026-07-14T13:39:00-05:00,29847,29855,29844,29848.75
2026-07-14T13:40:00-05:00,29849,29849,29835.75,29838.75
2026-07-14T13:41:00-05:00,29839.75,29843.25,29810.5,29826.5
2026-07-14T13:42:00-05:00,29827.75,29832.75,29814,29826
2026-07-14T13:43:00-05:00,29826.75,29828.75,29814.75,29817
2026-07-14T13:44:00-05:00,29817.25,29826.75,29815.5,29824.75
2026-07-14T13:45:00-05:00,29825.75,29826,29814.75,29819.5
2026-07-14T13:46:00-05:00,29819.75,29831,29817.5,29829.5
2026-07-14T13:47:00-05:00,29829.25,29837.75,29829.25,29836
2026-07-14T13:48:00-05:00,29837,29837.75,29828.5,29831.5
2026-07-14T13:49:00-05:00,29832,29833,29816,29816.5
2026-07-14T13:50:00-05:00,29817,29822.25,29813,29817
2026-07-14T13:51:00-05:00,29817.5,29828.5,29816,29825.5
2026-07-14T13:52:00-05:00,29824.25,29835.75,29820.25,29831.75
2026-07-14T13:53:00-05:00,29832.75,29843.5,29830.5,29841.25
2026-07-14T13:54:00-05:00,29841.5,29841.75,29833.25,29836.25
2026-07-14T13:55:00-05:00,29836,29836.25,29824.5,29829.75
2026-07-14T13:56:00-05:00,29830.5,29832,29826.75,29827.75
2026-07-14T13:57:00-05:00,29828.5,29830.75,29820.25,29821.75
2026-07-14T13:58:00-05:00,29822,29829.75,29819.25,29829.5
2026-07-14T13:59:00-05:00,29829.5,29830.5,29821.25,29824
2026-07-14T14:00:00-05:00,29824.5,29832.5,29819.25,29825.75
2026-07-14T14:01:00-05:00,29825.5,29826,29806.5,29807.5
2026-07-14T14:02:00-05:00,29806.75,29806.75,29794.5,29801.75
2026-07-14T14:03:00-05:00,29801.75,29807.75,29795.75,29796
2026-07-14T14:04:00-05:00,29796,29801.75,29793,29798.25
2026-07-14T14:05:00-05:00,29798,29802.75,29793.25,29796.5
2026-07-14T14:06:00-05:00,29795.5,29803.5,29795.25,29800.25
2026-07-14T14:07:00-05:00,29799.75,29803.5,29780,29791
2026-07-14T14:08:00-05:00,29791.5,29801,29787.75,29798.5
2026-07-14T14:09:00-05:00,29799.5,29803.75,29788.75,29788.75
2026-07-14T14:10:00-05:00,29789.25,29799.75,29784.5,29799.75
2026-07-14T14:11:00-05:00,29799,29806.75,29794,29800
2026-07-14T14:12:00-05:00,29800.5,29813,29800.25,29810.5
2026-07-14T14:13:00-05:00,29811,29822.75,29808,29820.75
2026-07-14T14:14:00-05:00,29820.25,29824.25,29813.5,29816
2026-07-14T14:15:00-05:00,29816,29823.25,29815,29823.25
2026-07-14T14:16:00-05:00,29822,29827.75,29815,29816
2026-07-14T14:17:00-05:00,29816.25,29825,29815.5,29823.5
2026-07-14T14:18:00-05:00,29823.75,29826,29808.75,29819.25
2026-07-14T14:19:00-05:00,29818.25,29822,29815.75,29819.75
2026-07-14T14:20:00-05:00,29820.5,29821.5,29811.25,29819
2026-07-14T14:21:00-05:00,29820.25,29829.5,29819.5,29828
2026-07-14T14:22:00-05:00,29828.75,29837.75,29828.75,29834.75
2026-07-14T14:23:00-05:00,29835,29836.75,29830.25,29830.25
2026-07-14T14:24:00-05:00,29831,29836.75,29827.75,29835
2026-07-14T14:25:00-05:00,29835,29835.5,29824,29825.25
2026-07-14T14:26:00-05:00,29825.75,29832,29822.75,29825.5
2026-07-14T14:27:00-05:00,29826.25,29828.5,29820.5,29822.5
2026-07-14T14:28:00-05:00,29821.75,29822.5,29812.25,29813.75
2026-07-14T14:29:00-05:00,29814.75,29816.25,29796.5,29796.75
2026-07-14T14:30:00-05:00,29797.25,29801.25,29775.25,29783.25
